0.000000000000000000e+00,5.230769230769229949e-01,3.157894736842105088e-01,5.000000000000000000e-01,2.545454545454545192e-01,3.157894736842105088e-01,4.000000000000000222e-01,4.000000000000000222e-01,3.448275862068965747e-01,2.545454545454545192e-01
5.230769230769229949e-01,0.000000000000000000e+00,5.882352941176470784e-01,4.262295081967213406e-01,4.516129032258064946e-01,4.516129032258064946e-01,4.262295081967213406e-01,5.671641791044776948e-01,4.761904761904761640e-01,4.516129032258064946e-01
3.157894736842105088e-01,5.882352941176470784e-01,0.000000000000000000e+00,4.761904761904761640e-01,4.516129032258064946e-01,2.857142857142856984e-01,3.728813559322033955e-01,3.157894736842105088e-01,2.545454545454545192e-01,3.448275862068965747e-01
5.000000000000000000e-01,4.262295081967213406e-01,4.761904761904761640e-01,0.000000000000000000e+00,4.761904761904761640e-01,3.728813559322033955e-01,3.448275862068965747e-01,4.516129032258064946e-01,4.000000000000000222e-01,4.761904761904761640e-01
2.545454545454545192e-01,4.516129032258064946e-01,4.516129032258064946e-01,4.761904761904761640e-01,0.000000000000000000e+00,2.857142857142856984e-01,4.262295081967213406e-01,3.728813559322033955e-01,4.262295081967213406e-01,2.222222222222222099e-01
3.157894736842105088e-01,4.516129032258064946e-01,2.857142857142856984e-01,3.728813559322033955e-01,2.857142857142856984e-01,0.000000000000000000e+00,3.157894736842105088e-01,3.157894736842105088e-01,2.545454545454545192e-01,2.222222222222222099e-01
4.000000000000000222e-01,4.262295081967213406e-01,3.728813559322033955e-01,3.448275862068965747e-01,4.262295081967213406e-01,3.157894736842105088e-01,0.000000000000000000e+00,4.000000000000000222e-01,2.857142857142856984e-01,3.728813559322033955e-01
4.000000000000000222e-01,5.671641791044776948e-01,3.157894736842105088e-01,4.516129032258064946e-01,3.728813559322033955e-01,3.157894736842105088e-01,4.000000000000000222e-01,0.000000000000000000e+00,3.448275862068965747e-01,2.545454545454545192e-01
3.448275862068965747e-01,4.761904761904761640e-01,2.545454545454545192e-01,4.000000000000000222e-01,4.262295081967213406e-01,2.545454545454545192e-01,2.857142857142856984e-01,3.448275862068965747e-01,0.000000000000000000e+00,3.157894736842105088e-01
2.545454545454545192e-01,4.516129032258064946e-01,3.448275862068965747e-01,4.761904761904761640e-01,2.222222222222222099e-01,2.222222222222222099e-01,3.728813559322033955e-01,2.545454545454545192e-01,3.157894736842105088e-01,0.000000000000000000e+00
